"event_id","route","R0","k","outcome","chain_size","hub_infections","generations","peak_infected","at_hub","spill_lat","spill_lon","hub_id","hub_dist_km","travel_time","n_swath_cells","n_hub_cells","mortality_sub_pandemic","pandora_handoff"
256,"nonspatial_sub",0.118781276872423,0.704073584549188,"extinct",1,0,1,1,TRUE,2.79166666666669,32.2916666666666,7,0,2.33999991416931,NA,NA,0.01,FALSE
257,"single_case",0,0.258576120479083,"single_case",1,0,0,1,FALSE,2.54166666666669,32.3749999999999,7,13.0750424961938,38.5800018310547,35,11,0.01,FALSE
258,"single_case",0,0.671814982577439,"single_case",1,0,0,1,FALSE,2.54166666666669,34.5416666666666,12,52.3001699847761,104.319999694824,56,5,0.01,FALSE
259,"single_case",0,1.51483910150195,"single_case",1,0,0,1,TRUE,2.87500000000003,30.8749999999999,4,0,20.2299995422363,NA,NA,0.01,FALSE
260,"single_case",0,0.287321694866406,"single_case",1,0,0,1,FALSE,-0.374999999999972,30.7916666666666,27,20.6835401908504,71.629997253418,30,11,0.01,FALSE
261,"nonspatial_sub",0.360358512065978,0.586318833536428,"extinct",4,0,4,1,FALSE,1.29166666666669,31.7083333333333,13,37,173.600006103516,53,15,0.04,FALSE
262,"single_case",0,1.06936093836993,"single_case",1,0,0,1,FALSE,0.208333333333361,32.2916666666666,16,9.24993885182177,30.9599990844727,46,29,0.01,FALSE
263,"single_case",0,0.487114399147947,"single_case",1,0,0,1,FALSE,-0.958333333333305,29.6249999999999,29,33.3481196810424,137.850006103516,32,10,0.01,FALSE
264,"nonspatial_sub",0.98249837408896,0.94316473869165,"extinct",7,0,3,4,TRUE,0.708333333333361,34.2083333333333,16,0,7.28999996185303,NA,NA,0.07,FALSE
265,"single_case",0,0.826497629877919,"single_case",1,0,0,1,FALSE,2.87500000000003,34.1249999999999,12,74.5744409762582,205.529998779297,59,5,0.01,FALSE
266,"single_case",0,0.969811301413585,"single_case",1,0,0,1,FALSE,1.04166666666669,34.2916666666666,16,9.24847133597922,37.8800010681152,43,29,0.01,FALSE
267,"nonspatial_sub",0.274687056426769,2.59141332319588,"extinct",1,0,1,1,FALSE,3.79166666666669,31.2916666666666,4,37,107.629997253418,49,20,0.01,FALSE
268,"single_case",0,1.73822900906989,"single_case",1,0,0,1,FALSE,-0.124999999999972,31.6249999999999,26,13.0814598861648,53,33,8,0.01,FALSE
269,"nonspatial_sub",0.0567894523480013,0.735349960999933,"extinct",1,0,1,1,TRUE,0.625000000000028,33.6249999999999,16,0,6.32999992370605,NA,NA,0.01,FALSE
270,"nonspatial_sub",0.062537813475723,0.596376022618324,"extinct",1,0,1,1,FALSE,-1.12499999999997,30.2083333333333,29,13.0802147232632,54.4300003051758,30,10,0.01,FALSE
271,"single_case",0,1.12083295574947,"single_case",1,0,0,1,FALSE,3.70833333333336,31.8749999999999,1,9.23063255232966,71.2900009155273,30,20,0.01,FALSE
272,"nonspatial_sub",0.119307964192059,0.377642256104272,"extinct",1,0,1,1,FALSE,1.95833333333336,33.5416666666666,11,9.24459746704584,36.4599990844727,41,26,0.01,FALSE
